Comida;tortilla;domingo
Comida;sushi;palillos
Comida;paella;domingo
Comida;pizza;caja cuadrada
Comida;hamburguesa;doble piso
Comida;ensalada;tenedor frío
Comida;sándwich;papel aluminio
Comida;croqueta;bar
Comida;gazpacho;verano
Comida;hummus;pan pita
Comida;arepa;plancha
Comida;empanada;bolsillo
Comida;lasaña;capas
Comida;risotto;cuchara
Comida;taco;mancha
Comida;ramen;bol hondo
Comida;ceviche;lima
Comida;fajita;chisporroteo
Comida;curry;olor fuerte
Comida;kebab;papel
Comida;falafel;bolita
Comida;donut;agujero
Comida;churro;azúcar
Comida;helado;goteo
Comida;flan;cuchara
Comida;yogur;tapa
Comida;queso;tabla
Comida;jamón;corte fino
Comida;salchicha;mostaza
Comida;albóndiga;salsa
Comida;gazpacho;vaso
Comida;pan;bolsa
Comida;croissant;migajas
Comida;galleta;leche
Comida;chocolate;envoltorio
Comida;palomita;cine
Comida;granola;crujido
Comida;fresa;semillas
Comida;plátano;curva
Comida;uva;racimo
Comida;manzana;crujido
Animal;perro;correa
Animal;gato;bigotes
Animal;conejo;zanahoria
Animal;hámster;rueda
Animal;caballo;herradura
Animal;vaca;campana
Animal;oveja;lana
Animal;cerdo;barro
Animal;gallina;corral
Animal;pato;charco
Animal;águila;círculos
Animal;búho;noche
Animal;paloma;plaza
Animal;cuervo;brillo
Animal;delfín;salto
Animal;tiburón;silencio
Animal;ballena;eco
Animal;pulpo;tinta
Animal;medusa;picor
Animal;pingüino;traje
Animal;koala;abrazo
Animal;canguro;bolsillo
Animal;zorro;sigilo
Animal;lobo;manada
Animal;oso;cueva
Animal;ciervo;ramas
Animal;jirafa;mirador
Animal;elefante;memoria
Animal;rinoceronte;blindaje
Animal;camaleón;cambio
Animal;serpiente;zigzag
Animal;lagarto;sol
Animal;abeja;zumbido
Animal;mariposa;aleteo
Objeto;paraguas;chaparrón
Objeto;linterna;corte luz
Objeto;reloj;segundero
Objeto;llave;bolsillo
Objeto;cartera;tarjeta
Objeto;gafas;huellas
Objeto;auricular;cable
Objeto;cargador;enchufe
Objeto;teclado;clic
Objeto;ratón;alfombrilla
Objeto;monitor;reflejo
Objeto;impresora;atasco
Objeto;microondas;pitido
Objeto;nevera;imanes
Objeto;horno;guante
Objeto;sartén;aceite
Objeto;cuchillo;tabla
Objeto;tenedor;tres puntas
Objeto;cuchara;postre
Objeto;plato;lavavajillas
Objeto;vaso;condensación
Objeto;botella;rosca
Objeto;mochila;cremallera
Objeto;maleta;ruedas
Objeto;casco;hebilla
Objeto;cepillo;pelos
Objeto;toalla;ganchito
Objeto;jabón;espuma
Objeto;champú;ducha
Objeto;secador;ruido
Objeto;plancha;vapor
Objeto;aspiradora;polvo
Objeto;ventilador;verano
Objeto;calefactor;invierno
Objeto;televisor;mando
Lugar;aeropuerto;cola
Lugar;estación;andén
Lugar;biblioteca;silencio
Lugar;farmacia;ticket
Lugar;hospital;pasillo
Lugar;gimnasio;pesas
Lugar;estadio;gradas
Lugar;cine;butaca
Lugar;teatro;telón
Lugar;museo;pasos
Lugar;playa;arena
Lugar;montaña;sendero
Lugar;parque;banco
Lugar;plaza;fuente
Lugar;mercado;puestos
Lugar;supermercado;carrito
Lugar;panadería;cola
Lugar;cafetería;taza
Lugar;bar;servilleta
Lugar;restaurante;cuenta
Lugar;hotel;recepción
Lugar;oficina;reunión
Lugar;escuela;timbre
Lugar;universidad;campus
Lugar;iglesia;eco
Lugar;aparcamiento;ticket
Lugar;gasolinera;repostar
Lugar;tienda;probador
Lugar;peluquería;espejo
Lugar;lavandería;monedas
Profesión;médico;guardia
Profesión;enfermero;turno
Profesión;dentista;guante
Profesión;abogado;pleito
Profesión;bombero;sirena
Profesión;policía;radio
Profesión;piloto;cabina
Profesión;azafato;pasillo
Profesión;camarero;bandeja
Profesión;cocinero;delantal
Profesión;panadero;harina
Profesión;carpintero;serrín
Profesión;fontanero;llave inglesa
Profesión;electricista;fusible
Profesión;mecánico;grasa
Profesión;ingeniero;diagrama
Profesión;programador;commit
